participant_id,block,trial_index,win,state2_color,trial_index_global,stage,choice
625,1,32,0,blue,33,2,1
625,2,0,0,pink,34,1,1
625,2,0,0,pink,34,2,2
625,2,1,1,blue,35,1,1
625,2,1,1,blue,35,2,2
625,2,2,0,pink,36,1,1
625,2,2,0,pink,36,2,1
625,2,3,1,pink,37,1,1
625,2,3,1,pink,37,2,2
625,2,4,0,blue,38,1,1
625,2,4,0,blue,38,2,2
625,2,5,0,pink,39,1,1
625,2,5,0,pink,39,2,1
625,2,6,0,pink,40,1,1
625,2,6,0,pink,40,2,2
625,2,7,0,pink,41,1,1
625,2,7,0,pink,41,2,1
625,2,8,0,blue,42,1,2
625,2,8,0,blue,42,2,2
625,2,9,1,pink,43,1,2
625,2,9,1,pink,43,2,2
625,2,10,1,pink,44,1,2
625,2,10,1,pink,44,2,2
625,2,11,1,blue,45,1,2
625,2,11,1,blue,45,2,2
625,2,12,0,pink,46,1,2
625,2,12,0,pink,46,2,2
625,2,13,1,blue,47,1,2
625,2,13,1,blue,47,2,2
625,2,14,1,blue,48,1,2
625,2,14,1,blue,48,2,2
625,2,15,0,blue,49,1,2
625,2,15,0,blue,49,2,2
625,2,16,0,pink,50,1,1
625,2,16,0,pink,50,2,2
625,2,17,0,pink,51,1,1
625,2,17,0,pink,51,2,1
625,2,18,0,pink,52,1,1
625,2,18,0,pink,52,2,2
625,2,19,1,pink,53,1,1
625,2,19,1,pink,53,2,1
625,2,20,1,blue,54,1,1
625,2,20,1,blue,54,2,2
625,2,21,0,pink,55,1,1
625,2,21,0,pink,55,2,1
625,2,22,0,pink,56,1,1
625,2,22,0,pink,56,2,2
625,2,23,1,blue,57,1,2
625,2,23,1,blue,57,2,1
625,2,24,1,pink,58,1,2
625,2,24,1,pink,58,2,2
625,2,25,1,blue,59,1,2
625,2,25,1,blue,59,2,2
625,2,26,0,pink,60,1,2
625,2,26,0,pink,60,2,2
625,2,27,1,pink,61,1,1
625,2,27,1,pink,61,2,2
625,2,28,1,blue,62,1,2
625,2,28,1,blue,62,2,2
625,2,29,0,pink,63,1,1
625,2,29,0,pink,63,2,1
625,2,30,1,pink,64,1,1
625,2,30,1,pink,64,2,1
625,2,31,1,pink,65,1,1
625,2,31,1,pink,65,2,2
625,2,32,1,pink,66,1,2
625,2,32,1,pink,66,2,1
625,3,0,0,blue,67,1,2
625,3,0,0,blue,67,2,1
625,3,1,1,pink,68,1,2
625,3,1,1,pink,68,2,1
625,3,2,0,blue,69,1,1
625,3,2,0,blue,69,2,2
625,3,3,1,blue,70,1,2
625,3,3,1,blue,70,2,2
625,3,4,1,blue,71,1,2
625,3,4,1,blue,71,2,2
625,3,5,0,pink,72,1,2
625,3,5,0,pink,72,2,2
625,3,6,1,blue,73,1,1
625,3,6,1,blue,73,2,2
625,3,7,1,blue,74,1,2
625,3,7,1,blue,74,2,2
625,3,8,0,pink,75,1,1
625,3,8,0,pink,75,2,1
625,3,9,0,pink,76,1,1
625,3,9,0,pink,76,2,1
625,3,10,1,blue,77,1,2
625,3,10,1,blue,77,2,2
625,3,11,0,pink,78,1,2
625,3,11,0,pink,78,2,1
625,3,12,0,blue,79,1,2
625,3,12,0,blue,79,2,2
625,3,13,0,pink,80,1,1
625,3,13,0,pink,80,2,1
625,3,14,1,blue,81,1,2
625,3,14,1,blue,81,2,2
625,3,15,0,blue,82,1,2
625,3,15,0,blue,82,2,2
625,3,16,0,pink,83,1,1
625,3,16,0,pink,83,2,2
625,3,17,1,pink,84,1,2
625,3,17,1,pink,84,2,2
625,3,18,0,pink,85,1,1
625,3,18,0,pink,85,2,1
625,3,19,1,pink,86,1,1
625,3,19,1,pink,86,2,2
625,3,20,1,pink,87,1,1
625,3,20,1,pink,87,2,2
625,3,21,0,blue,88,1,2
625,3,21,0,blue,88,2,2
625,3,22,0,pink,89,1,1
625,3,22,0,pink,89,2,2
625,3,23,0,pink,90,1,2
625,3,23,0,pink,90,2,1
625,3,24,0,blue,91,1,1
625,3,24,0,blue,91,2,2
625,3,25,0,blue,92,1,1
625,3,25,0,blue,92,2,1
625,3,26,0,blue,93,1,2
625,3,26,0,blue,93,2,2
625,3,27,0,blue,94,1,2
625,3,27,0,blue,94,2,1
625,3,28,0,blue,95,1,1
625,3,28,0,blue,95,2,2
625,3,29,0,blue,96,1,1
625,3,29,0,blue,96,2,1
625,3,30,0,blue,97,1,1
625,3,30,0,blue,97,2,2
625,3,31,0,pink,98,1,1
625,3,31,0,pink,98,2,1
625,3,32,1,blue,99,1,2
625,3,32,1,blue,99,2,2
294,1,0,1,blue,1,1,2
294,1,0,1,blue,1,2,1
294,1,1,0,pink,2,1,2
294,1,1,0,pink,2,2,2
294,1,2,0,blue,3,1,2
294,1,2,0,blue,3,2,2
294,1,3,0,pink,4,1,1
294,1,3,0,pink,4,2,2
294,1,4,0,pink,5,1,1
294,1,4,0,pink,5,2,2
294,1,5,1,blue,6,1,2
294,1,5,1,blue,6,2,1
294,1,6,1,pink,7,1,2
294,1,6,1,pink,7,2,2
294,1,7,1,blue,8,1,2
294,1,7,1,blue,8,2,1
294,1,8,1,blue,9,1,2
294,1,8,1,blue,9,2,1
294,1,9,1,blue,10,1,2
294,1,9,1,blue,10,2,1
294,1,10,1,pink,11,1,2
294,1,10,1,pink,11,2,2
294,1,11,0,blue,12,1,2
294,1,11,0,blue,12,2,1
294,1,12,0,blue,13,1,2
294,1,12,0,blue,13,2,2
294,1,13,1,blue,14,1,2
294,1,13,1,blue,14,2,1
294,1,14,1,pink,15,1,2
294,1,14,1,pink,15,2,1
294,1,15,0,blue,16,1,2
294,1,15,0,blue,16,2,1
294,1,16,1,blue,17,1,1
294,1,16,1,blue,17,2,1
294,1,17,0,blue,18,1,2
294,1,17,0,blue,18,2,1
294,1,18,0,blue,19,1,2
294,1,18,0,blue,19,2,2
294,1,19,1,blue,20,1,2
294,1,19,1,blue,20,2,1
294,1,20,1,blue,21,1,2
294,1,20,1,blue,21,2,1
294,1,21,1,blue,22,1,2
294,1,21,1,blue,22,2,1
294,1,22,0,pink,23,1,2
294,1,22,0,pink,23,2,2
